CAMIS,DBA,CUISINE.DESCRIPTION,full.address,lon,lat
41652560,$1 PIZZA $2 BEER,Pizza,"macdougal street 95 , NY, US",-74.0011232,40.7295261
41654599,86 BAKERY,Chinese,"18 avenue 8512 , NY, US",-74.0024531,40.6076948
41634845,ATOYAMA SUSHI,Asian,"west   36 street 11 , NY, US",-73.9844035,40.7502602
50046319,PACO'S TACOS PLUS,Mexican,"86th st 1504 , NY, US",-74.009535,40.6111114
41466567,LA CERVECERIA,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)","2 avenue 65 , NY, US",-73.9898081,40.7260895
41118227,QUIZNO'S SUBS,Sandwiches,"northern boulevard 21510 , NY, US",-73.7671853,40.7602865
41508168,WING WAH RESTAURANT,Chinese,"metropolitan avenue 9812 , NY, US",-73.8542491,40.7107863
41597047,Z-TWO DINER & LOUNGE,American,"veterans road west 2925 , NY, US",-74.230729,40.527271
41070330,LENNY'S PIZZERIA,Pizza/Italian,"crossbay boulevard 16402 , NY, US",-73.8381475,40.6505913
40390185,TRONO DE MEXICO,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)","69 street 3819 , NY, US",-73.8960966,40.7466281
41291292,DUO TIAN BAKERY,Bakery,"eldridge street 118 , NY, US",-73.9916637,40.7184537
50000125,WOODHAVEN MANOR CATERS AND BANQUET,American,"jamaica ave 9601 , NY, US",-73.848839,40.694874
41368950,GOTHAM PIZZA,Pizza,"9 avenue 144 , NY, US",-74.002993,40.743826
40396598,ROCKAWAY BEACH INN,American,"rockaway beach boulevard 8822 , NY, US",-73.813897,40.587326
50005688,FUJIYAMA JAPANESE FUSION,Japanese,"13th ave 7307 , NY, US",-74.0062901,40.6211356
41552183,NEW TERRITORY CAKE SHOP,Bakery,"catherine street 77 , NY, US",-73.9963569,40.7109729
40646209,LEON BAKERY,Bakery,"9 avenue 695 , NY, US",-73.990236,40.7621819
40402397,THE RIVER CLUB,American,"east   52 street 447 , NY, US",-73.9632744,40.7544774
40730115,JOLLY TINKER,American,"webester avenue 2875 , NY, US",-73.8835002,40.867604
41629881,BAREBURGER,American,"8 avenue 153 , NY, US",-74.0011605,40.7421057
41039229,CROWN FRIED CHICKEN,Chicken,"springfield boulevard 10302 , NY, US",-73.7359573,40.7131416
50017286,MR. POLLO #1,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)","bell blvd 4220 , NY, US",-73.7705527,40.7621199
41464260,ARIEL'S CAFE,American,"queens boulevard 9717 , NY, US",-73.860583,40.7297162
41299074,THE DUB PIE SHOP,Australian,"prospect park west 211 , NY, US",-73.9800308,40.6603722
41348778,EASTVILLE COMEDY CLUB,American,"east    4 street 85 , NY, US",-73.9898,40.726589
41333637,DOWNS RIVER RESTAURANT,Caribbean,"stanley avenue 517 , NY, US",-73.8890916,40.65725
41645448,BOCBOC CHICKEN DELICIOUS,Asian,"queens boulevard 9015 , NY, US",-73.8705157,40.7344654
50003299,LEO'S PIZZA,Pizza,"36th ave 31-01 , NY, US",-73.9294361,40.756577
50001541,TONY & VAL'S,Pizza,"broadway 6201 , NY, US",-73.8970388,40.8960243
50000456,AA JING,Asian,"9th ave 689 , NY, US",-73.9903611,40.7619778
41691378,CHIPOTLE MEXICAN GRILL,Mexican,"2 avenue 604 , NY, US",-73.9758441,40.7441607
41068312,EL ENCUENTRO RESTAURANT,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)","104 street 3901 , NY, US",-73.861785,40.750616
50011938,C & Y NOODLE (#24 E),Chinese,"main st 4128 , NY, US",-73.829437,40.757178
50007359,SARILING ATIN,Filipino,"queens blvd 8912 , NY, US",-73.8745315,40.7343164
50011393,A1 OCHA SUSHI,Japanese,"w 46th st 350 , NY, US",-73.9898698,40.760351
50035385,PAPA JOHN'S,Pizza,"grand st 343 , NY, US",-73.989852,40.7167281
41238209,TOWER'S CAFE,American,"lenox avenue 506 , NY, US",-73.9397616,40.8141351
41504766,LA NUEVA COCINA RESTAURANT,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)","east kingsbridge road 12 , NY, US",-73.8970758,40.8671455
50000422,SOCIALE,Italian,"henry st 72 , NY, US",-73.9937596,40.7127157
50016964,BONCHON,Korean,"5th ave 325 , NY, US",-73.9850289,40.7474699
41612015,BROOKLYN BUSCHENSCHANK,German,"court street 320 , NY, US",-73.9956782,40.6832609
50050745,FAUN,Italian,"vanderbilt ave 606 , NY, US",-73.9688976,40.6782717
41695267,ICHI SUSHI,Japanese,"bay parkway 8609 , NY, US",-73.9938538,40.6015972
41260791,MANTA LLAVE DEL MAR BAR RESTAURANT,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)","northern boulevard 9912 , NY, US",-73.8689604,40.7570621
40397642,EUROPA NIGHT CLUB,American,"meserole avenue 98104 , NY, US",-73.9509798,40.7276629
41308819,TOKYO BAY JAPANESE RESTAURANT,Japanese,"duane street 183 , NY, US",-74.0102073,40.7175677
41290351,JOE'S,American,"amsterdam avenue 480 , NY, US",-73.976669,40.785962
41642313,LA ROSA BAKERY,Bakery,"east  170 street 155B , NY, US",-73.9147333,40.8392916
41378862,UMI SUSHI JAPANESE CUISINE,Japanese,"brighton beach ave 215 , NY, US",-73.9666913,40.5767478
50001776,THE PALM,American,"jfk international airport NKA , NY, US",-74.0059413,40.7127837
41239197,PINTO,Thai,"christopher street 118 , NY, US",-74.0054827,40.7330986
50001571,THE SANDWICH SHOP,Sandwiches,"grand street 658A , NY, US",-73.9461554,40.7112049
40512207,WOODLAWN CAFE,American,"jerome avenue 3700 , NY, US",-73.8780856,40.886517
41611135,"DUNKIN' DONUTS, BASKIN ROBBINS",Donuts,"avenue of the americas 406 , NY, US",-73.9991438,40.7336971
41688594,THE FALAFEL SHOP,Vegetarian,"rivington street 127 , NY, US",-73.9871813,40.7195221
41700297,JULIANA'S PIZZA,Italian,"old fulton street 19 , NY, US",-73.993413,40.7027764
41571269,SHILLELAGH TAVERN,American,"30 avenue 4722 , NY, US",-73.9088453,40.7608389
50006441,SLAKE,American,"w 30th st 251 , NY, US",-73.9942662,40.7494549
40960423,EL MAGUEY Y LA TUNA,Mexican,"east houston street 321 , NY, US",-73.982898,40.7209168
50005906,STARBUCKS,Caf̩/Coffee/Tea,"park ave 270 , NY, US",-73.9755845,40.7558818
41511427,CULTURE ESPRESSO,Caf̩/Coffee/Tea,"west   38 street 72 , NY, US",-73.9857349,40.7520936
50016671,APERITIF,French,"39th ave 21341 , NY, US",-73.7714271,40.765422
41130782,DEJA VU LOUNGE & BAR,American,"linden boulevard 18025 , NY, US",-73.765654,40.692322
41202176,TED'S MONTANA GRILL,American,"west   51 street 110 , NY, US",-73.9808907,40.7607188
41585919,GOOGLE WATER TOWER CAFE,American,"8 avenue 111 , NY, US",-74.0021187,40.7409573
50001318,KOLMARO,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)","sherman avenue 185 , NY, US",-73.9221291,40.8648416
41428124,FORTY EIGHT LOUNGE,American,"avenue of the americas 1221 , NY, US",-73.98222,40.7594099
41037812,EL NUEVO YOLY RESTAURANT,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)","featherbed lane 118 , NY, US",-73.9196277,40.8459105
40566431,CONNIE O'S,American,"norman avenue 158 , NY, US",-73.9480462,40.7264944
41451597,TOM'S COFFEE SHOP,Caf̩/Coffee/Tea,"east burnside avenue 250 , NY, US",-73.9026906,40.8515443
41636291,NIFOROS CORNER,Delicatessen,"11th st 3560 , NY, US",-73.939835,40.7614131
41337907,GOOD HOPE RESTAURANT,Caribbean,"flatbush avenue 1683 , NY, US",-73.9435979,40.6292505
40916719,CAFE LA MORENA & DELI,Spanish,"3 avenue 950 , NY, US",-73.968216,40.7602498
50001385,EL RANCHO RESTAURANT,Spanish,"flatbush ave 1157 , NY, US",-73.95684,40.642157
40389881,WHARF BAR AND GRILL,American,"beach  116 street 416 , NY, US",-73.838457,40.582524
50038685,MANHATTAN BREW AND VINE,American,"columbus ave 998 , NY, US",-73.9615791,40.8014906
50044250,FUJI JAPANESE CUISINE,Japanese,"queens blvd 11327 , NY, US",-73.8348159,40.7175843
40922528,DOMINO'S,Pizza,"1 avenue 1396 , NY, US",-73.9547012,40.7692672
41463394,HEARTLAND BREWERY,American,"8 avenue 625 , NY, US",-73.990494,40.7569545
41525492,LA PENDA RESTAURANT,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)","grand concourse 2233 , NY, US",-73.90106,40.8563208
41644212,Rafele,Pizza/Italian,"7 avenue south 29 , NY, US",-74.0041407,40.7308299
50045777,KULU DESSERTS,"Juice, Smoothies, Fruit Salads","broadway 8655 , NY, US",-73.8966527,40.9114377
40388091,MASAWA,Ethiopian,"amsterdam avenue 1239 , NY, US",-73.9585846,40.8097806
50000885,BRICKHOUSE PIZZERIA,Italian,"bedford ave 357 , NY, US",-73.962931,40.7115854
41698000,KARAOKE DUET 48,American,"east   48 street 304 , NY, US",-73.9693632,40.753185
50015640,LITTLE SKIPS OUTPOST,Caf̩/Coffee/Tea,"myrtle ave 1158 , NY, US",-73.9336724,40.6969299
41345931,PETE'S RESTAURANT & PIZZERIA,Pizza/Italian,"bell boulevard 3926 , NY, US",-73.771776,40.764516
41286923,DUNKIN' DONUTS,Donuts,"3 avenue 4521 , NY, US",-73.9906154,40.7286292
41678553,JESSIE'S EXPRESS CAFE,Sandwiches/Salads/Mixed Buffet,"8 avenue 411 , NY, US",-73.9952912,40.7501486
50035779,BIERLEICHEN,German,"seneca ave 582 , NY, US",-73.9103842,40.7042762
41452725,TASTE OF GEORGIA,Eastern European,"east   18 street 1637 , NY, US",-73.9554072,40.6097673
41546745,MI SABOR CAFE,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)","broadway 920 , NY, US",-73.9893977,40.7395687
50037535,LOFT 142,Spanish,"w 142nd st 547 , NY, US",-73.9513486,40.8245423
41390168,THE VILLAGE LUNCHEONETTE,American,"mcdonald avenue 2374 , NY, US",-73.973851,40.5943731
41212707,KING HING RESTAURANT,Chinese,"westchester avenue 3227 , NY, US",-73.8289146,40.8521253
40617736,BOTTINO,Italian,"10 avenue 248 , NY, US",-74.003165,40.748505
50003714,KIKU SUSHI,Japanese,"9th ave 235 , NY, US",-74.000951,40.747565
41403621,THIRD FLOOR CAFE,Korean,"5 avenue 315 , NY, US",-73.9851941,40.7468929
41112819,SONG,Thai,"5 avenue 295 , NY, US",-73.9857086,40.7460498
41083514,GAEL PUB,American,"3 avenue 1465 , NY, US",-73.9552708,40.7765527
41482729,PERIZIA CAFE  and  PIZZA,Pizza,"east   16 street 1626 , NY, US",-73.9577052,40.6097219
41244007,PAPA JOHN'S,Pizza,"rockaway boulevard 14720 , NY, US",-73.7900705,40.6731202
41038109,THE MANSFIELD BAR,American,"west   44 street 12 , NY, US",-73.9811028,40.7550346
41163307,TAQUERIA SAN PEDRO,Mexican,"broadway 3662 , NY, US",-73.9472436,40.8303448
41434744,CHINA DOLL,Chinese,"loring avenue 1356 , NY, US",-73.8613949,40.6679086
41319774,BAR & GRILL 43,American,"43 street 4306 , NY, US",-73.9213841,40.7449065
41615845,ROCCO PIZZA III,American,"halsey street 330 , NY, US",-73.9406575,40.6826881
50008544,UNCLE LOUIE GS ITALIAN ICES & ICE CREAM,"Ice Cream, Gelato, Yogurt, Ices","rockaway beach blvd 9210 , NY, US",-73.8214078,40.5836922
41340129,TACOS EL PAISANITO RESTAURANT,Mexican,"west fordham road 202 , NY, US",-73.9094297,40.8622744
40861669,NEW VICTORY RESTAURANT,Chinese,"5 avenue 4803 , NY, US",-73.9636138,40.7771891
41563707,PIZZERIA GIOVE,Italian,"new dorp lane 278 , NY, US",-74.113139,40.5720396
41534897,VILLAGE 38,American,"8 avenue 575 , NY, US",-73.9918315,40.7550522
40578058,PHO BAC VIETNAMESE SEAFOOD CUISINE,Vietnamese/Cambodian/Malaysia,"broadway 8278 , NY, US",-73.8981534,40.8895273
41645426,LA NUEVA COLOMBIA BAKERY,Spanish,"31st ave 9107 , NY, US",-73.877326,40.760366
50041001,SUNDARBAN RESTAURANT,Bangladeshi,"36th ave 3310 , NY, US",-73.927918,40.7555027
40386616,ROCCO'S PIZZERIA,Pizza/Italian,"5 avenue 7818 , NY, US",-73.9729109,40.7644781
41645430,LITTLE ZELDA,Caf̩/Coffee/Tea,"franklin avenue 728 , NY, US",-73.957155,40.6737712
41422150,BAGEL WORLD,Bagels/Pretzels,"5 avenue 339 , NY, US",-73.9846528,40.7477804
41404362,COZZI PIZZA,Pizza,"broadway 584 , NY, US",-73.997086,40.7245947
50017444,MCFADDEN'S,Irish,"2nd ave 800 , NY, US",-73.971655,40.7500617
50009215,LEOS RESTAURANT,Mexican,"knickerbocker ave 207 , NY, US",-73.926226,40.703558
41272820,SUBWAY,Sandwiches,"1 avenue 1661 , NY, US",-73.9493123,40.7773717
50001100,KENNEDY FRIED CHICKEN & PIZZA,Chicken,"e tremont ave 647 , NY, US",-73.8917966,40.8459642
41700508,ORANGE HUT,American,"broadway 5317 , NY, US",-73.9061598,40.8770544
41337465,CAFE SELECT,Eastern European,"lafayette street 212 , NY, US",-73.9979236,40.721815
41628667,ACUARIO CAFE,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)","west   37 street 306 , NY, US",-73.9927951,40.7541547
50002967,CAFE 86,American,"broadway 2350 , NY, US",-73.976351,40.7877641
41604442,AMARU,Peruvian,"northern boulevard 8413 , NY, US",-73.8830342,40.7560464
40510286,ROYS REST & SPORTS BAR,"Bottled beverages, including water, sodas, juices, etc.","liberty avenue 11101 , NY, US",-73.8310765,40.6849728
41572685,BROOKLYNS FINEST PIZZA & RESTAURANT,Pizza/Italian,"hylan boulevard 1250 , NY, US",-74.0842307,40.5972971
40790974,BROTHER JIMMY'S BBQ,Barbecue,"2 avenue 1485 , NY, US",-73.9560997,40.7723435
50007871,YUM YUM BANGKOK 3,Thai,"9th ave 658 , NY, US",-73.9906251,40.7608035
50017422,GYRO EXPRESS,Middle Eastern,"parsons blvd 8744 , NY, US",-73.8032389,40.7080905
41431239,QUE SABROSURA RESTAURANT,Spanish,"east  183 street 48 , NY, US",-73.9027076,40.8582116
41629922,SOTTO 13,Italian,"west   13 street 140 , NY, US",-73.9991585,40.7372515
41518879,RED HOUSE ASIAN FUSION,Asian,"union turnpike 19203 , NY, US",-73.7737324,40.7310588
40906490,VIA DELLA PACE,Italian,"east    7 street 48 , NY, US",-73.9877458,40.7276903
40751449,LITTLE ITALY PIZZA,Pizza,"5 avenue 521 , NY, US",-73.9797971,40.7541595
50008216,TIRANA SOCCER CLUB MEMBERS ONLY LLC,Caf̩/Coffee/Tea,"woodward ave 775 , NY, US",-73.9039624,40.7038943
50000203,VINICIO'S RESTAURANT,Spanish,"108th st 4021 , NY, US",-73.8582283,40.7501936
41276545,SUPER POLLO,Peruvian,"5 avenue 4102 , NY, US",-73.9636138,40.7771891
41634862,WORLD YACHT - ST. CHARLES,American,"w 41st st 0 , NY, US",-74.1069296,40.6773924
50044018,DELICIAS TAJADAS BAKERY & RESTAURANT,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)","bay ridge ave 241 , NY, US",-74.0271058,40.6363881
50014193,O FORT INC,Chinese,"fort hamilton pkwy 5918 , NY, US",-74.0056029,40.633354
50033405,TAAM TOV,Jewish/Kosher,"w 47th st 41 , NY, US",-73.9805192,40.757703
40797688,TRIPLE CROWN DINER,American,"jamaica avenue 24827 , NY, US",-73.7172438,40.726527
41628429,THE COFFEE BEAN & TEA LEAF,Caf̩/Coffee/Tea,"columbus avenue 392 , NY, US",NA,NA
50000582,DREAM BABY,American,"ave b 162 , NY, US",-73.9798746,40.7271404
50004619,TASTY DUMPLING,Chinese,"mulberry st 42 , NY, US",-73.9994411,40.7149352
41639084,LA CABANA PERUANA,Peruvian,"liberty ave 9304 , NY, US",-73.8455557,40.6800692
41603622,POTBELLY SANDWICH WORKS,Sandwiches/Salads/Mixed Buffet,"rockefeller center 30 , NY, US",-73.979398,40.758823
40904721,CRISPO,Italian,"west   14 street 240 , NY, US",-74.001806,40.7391368
50010952,BILLY'S PIZZA PASTA,Pizza,"bedford ave 1626 , NY, US",-73.956571,40.6671391
40512520,CHELSEA RISTORANTE,Italian,"8 avenue 108 , NY, US",-74.0015999,40.740631
41543275,KARAOKE NEMO / TRECE,Mexican,"east   13 street 54 , NY, US",-73.9917595,40.7341002
41497422,FUSHIMI JAPANESE CUISINE,Japanese,"4 avenue 9316 , NY, US",-74.0309787,40.6173339
40385057,CAPPUCCINO CAFE,American,"3 avenue 7721 , NY, US",-73.9906154,40.7286292
40368223,OYSTER BAR,Seafood,"grand central terminal 0 , NY, US",-73.9476617,41.5868272
41381962,JOLLIBEE,Chicken,"roosevelt avenue 6229 , NY, US",-73.9011693,40.7460243
41210953,TAQUERIA TLAXCALLI,Mexican,"starling ave 2103 , NY, US",-73.8549503,40.8362651
41084540,OPEN HOUSE,American,"east houston street 244 , NY, US",-73.985606,40.7223511
41392820,QUIZNO'S SUBS,Sandwiches,"west 34 street 304 , NY, US",-73.9944853,40.7522148
41208011,"DUNKIN' DONUTS, BASKIN ROBBINS",Donuts,"73 avenue 21522 , NY, US",-73.7584685,40.7405591
50005517,BLACK CRESCENT,Seafood,"clinton st 76 , NY, US",-73.985024,40.7188944
50004090,CHELSEA DELI AND BAKERY,American,"8th ave 254 , NY, US",-73.998411,40.7450708
41279817,MOTHER'S,American,"graham avenue 347 , NY, US",-73.9447022,40.7148836
41577662,LEON KITCHEN,Chinese,"fulton street 1610 , NY, US",-73.9364765,40.6795326
41651300,PACO'S,Mexican,"hylan boulevard 1642 , NY, US",-74.090052,40.5884591
41297769,BROTHERS FISH MARKET,Seafood,"broadway 3845 , NY, US",-73.9434941,40.8361915
40990997,WENDY'S,Hamburgers,"5 avenue 335 , NY, US",-73.9847422,40.747743
40397962,BEN ASH DELICATESSEN,Delicatessen,"7 avenue 855 , NY, US",-73.9809046,40.7639595
41588415,BIG NEW YORK FRIED CHICKEN,Chicken,"nostrand avenue 1922 , NY, US",-73.9484865,40.6387818
41006744,STARBUCKS,Caf̩/Coffee/Tea,"8 avenue 770 , NY, US",-73.9871338,40.7605783
40720280,THE HISTORIC OLD BERMUDA INN,American,"arthur kill road 2512 , NY, US",-74.2174153,40.5536306
41686709,TAUREAU LA SIRENE,French,"broome street 558 , NY, US",-74.0056783,40.7245217
41150371,FAST & FRESH BURRITO DELI,Mexican,"hoyt street 84 , NY, US",-73.9869929,40.688071
41428926,CAFE TOMATO,Delicatessen,"fulton street 142 , NY, US",-74.0084865,40.710357
41077320,BAKED,Bakery,"van brunt street 359 , NY, US",-74.0132893,40.6768414
41225294,GOLDEN KRUST CARIBBEAN BAKERY & GRILL,Caribbean,"lawrence street 139 , NY, US",-73.9859943,40.6917962
41210614,KARAHI INDIAN CUISINE,Indian,"christopher street 118 , NY, US",-74.0054827,40.7330986
50034283,CINCO DE MAYO,Mexican,"washington ave 837 , NY, US",-73.9118986,40.822534
50002875,TACOS CALIFORNIA RESTAURANT,Mexican,"5th ave 4616 , NY, US",-73.9636138,40.7771891
50014821,RED ROBIN GOURMET BURGERS AND BREW,American,"baychester ave 200 , NY, US",-73.8275005,40.8642044
41436340,PANDA HOUSE,Chinese,"nagle avenue 82 , NY, US",-73.9282199,40.8606259
50001458,BASSANOVA RAMEN,Japanese,"mott st 76 , NY, US",-73.9978115,40.7164344
50044007,SHALON RESTAURANT,Spanish,"jerome ave 2734 , NY, US",-73.8958521,40.8689487
40971149,OH TAISHO,Japanese,"st marks place 9 , NY, US",-73.9890898,40.7294642
41127492,ECUA VILLA COFFEE SHOP,Caf̩/Coffee/Tea,"east  170 street 320 , NY, US",-73.9099584,40.8370014
40402029,IZALCO RESTAURANT,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)","roosevelt avenue 6405 , NY, US",-73.899683,40.746169
40392339,ABSOLUTE BAGELS,Bagels/Pretzels,"broadway 2788 , NY, US",-73.9673998,40.802516
50000248,B.B'S PUB AND GRILL,American,"46th ave 17157 , NY, US",-73.7941883,40.7536924
41360076,DIG INN SEASONAL MARKET,American,"west   55 street 40 , NY, US",-73.9767455,40.7622032
40942756,YIYI RANG,Korean,"northern boulevard 19210 , NY, US",-73.7889894,40.7576251
41116368,CROWN HEIGHTS BUNCH-O-BAGELS AND MORE,Jewish/Kosher,"troy avenue 361 , NY, US",-73.9367069,40.6660166
41585663,Fordham Restaurant,American,"grand concourse 2506 , NY, US",-73.8963482,40.8627235
41564881,PUCCINI RESTAURANT,Italian,"francis lewis boulevard 2014 , NY, US",-73.8027586,40.779919
41283835,GOTTINO,Italian,"greenwich avenue 52 , NY, US",-74.000399,40.7357857
41438516,GA HWA KOREAN RESTAURANT,Korean,"northern boulevard 18908 , NY, US",-73.7916428,40.7575778
41600495,MI PEQUENO EL SALVADOR RESTAURANT,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)","37 avenue 9416 , NY, US",-73.8723931,40.7508817
41356229,INCHEON RESTAURANT,Korean,"depot road 16225 , NY, US",-73.8029415,40.7621403
50018782,CHIKURIN,Japanese,"new dorp ln 365 , NY, US",-74.11028,40.5709813
50000538,LOS POLLOS RESTAURANT,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)","46 street 4551 , NY, US",-73.9188196,40.7414843
50032842,RETRO FITNESS,"Juice, Smoothies, Fruit Salads","new york plz 1 , NY, US",-73.8309175,40.7753969
50015892,LA SALA,American,"crescent st 3205 , NY, US",-73.9286183,40.7632006
41234950,CIVIC DELI,American,"worth street 111 , NY, US",-74.0036493,40.7161318
50039715,ERIN MCKERRA'S BAKERY,Bakery,"broome st 248 , NY, US",-73.989604,40.718132
50011629,NEW ADVENTURE JUICE BAR,Spanish,"w 231st st 161 , NY, US",-73.9030551,40.878481
